,Unnamed: 0,country,year,population,gdp per capita nominal,gdp per capita ppp,iso_code,GNI,predicted_renewables_consumption
184,184,Luxembourg,2024,673036,135321.424,151145.794,LUX,,3.0649000000000006
185,185,Luxembourg,2023,665098,129810.315,148693.702,LUX,83980.0,3.029160000000002
186,186,Macao,2024,720262,77186.16,130416.65,MAC,,0.0
187,187,Macao,2023,713912,69079.723,117032.907,MAC,,0.0
188,188,Madagascar,2024,31964956,562.585,1989.82,MDG,,0.0
189,189,Madagascar,2023,31195932,530.466,1911.404,MDG,510.0,0.0
190,190,Malawi,2024,21655286,463.733,1713.774,MWI,,0.0
191,191,Malawi,2023,21104482,557.633,1691.672,MWI,600.0,0.0
192,192,Malaysia,2024,35557673,13142.345,41021.961,MYS,,47.05843
193,193,Malaysia,2023,35126298,12090.597,38693.715,MYS,11710.0,53.60014000000002
194,194,Maldives,2024,527799,17286.827,34322.076,MDV,,0.0
195,195,Maldives,2023,525994,16541.03,32541.081,MDV,11070.0,0.0
196,196,Mali,2024,24478595,898.46,2843.339,MLI,,0.0
197,197,Mali,2023,23769127,865.599,2762.817,MLI,840.0,0.0
198,198,Malta,2024,539607,44140.016,72941.905,MLT,,0.0
199,199,Malta,2023,532956,41204.739,69181.837,MLT,34750.0,0.0
200,200,Mauritania,2024,5169395,2376.285,8233.316,MRT,,0.0
201,201,Mauritania,2023,5022441,2403.679,7874.978,MRT,2130.0,0.0
202,202,Mauritius,2024,1271169,12601.486,32062.706,MUS,,0.0
203,203,Mauritius,2023,1273588,11543.601,29511.256,MUS,11590.0,0.0
204,204,Mexico,2024,130861007,13971.898,24971.323,MEX,,126.83214000000002
205,205,Mexico,2023,129739759,13641.033,24248.718,MEX,11980.0,221.51723000000015
206,206,Moldova,2024,3034961,7368.494,18524.015,MDA,,0.0
207,207,Moldova,2023,3067070,6641.582,17320.302,MDA,6200.0,0.0
208,208,Mongolia,2024,3475540,6665.645,19063.366,MNG,,0.0
209,209,Mongolia,2023,3431932,5796.476,17883.657,MNG,4870.0,0.0
210,210,Montenegro,2024,638479,12802.124,31858.01,MNE,,0.0
211,211,Montenegro,2023,633552,11696.262,30007.337,MNE,11590.0,0.0
212,212,Morocco,2024,38081173,4203.553,10615.06,MAR,,15.699509999999997
213,213,Morocco,2023,37712505,3901.397,10180.615,MAR,3760.0,17.226000000000003
214,214,Mozambique,2024,34631766,645.329,1729.561,MOZ,,0.0
215,215,Mozambique,2023,33635160,618.283,1664.707,MOZ,540.0,0.0
216,216,Myanmar,2024,54500091,1179.396,5205.768,MMR,,1.0929200000000001
217,217,Myanmar,2023,54133798,1190.012,5061.102,MMR,1230.0,1.0929200000000001
218,218,Namibia,2024,3030131,4409.957,11730.163,NAM,,0.0
219,219,Namibia,2023,2963095,4216.111,11349.849,NAM,4280.0,0.0
220,220,Nauru,2024,11947,12285.096,10829.327,NRU,,0.0
221,221,Nauru,2023,11875,12078.308,10625.931,NRU,23980.0,0.0
222,222,Nepal,2024,29651054,1381.053,5348.118,NPL,,0.0
223,223,Nepal,2023,29694614,1316.147,5153.126,NPL,1430.0,0.0
224,224,Netherlands,2024,18228742,67984.285,81494.628,NLD,,53.187580000000004
225,225,Netherlands,2023,18092524,64829.341,79586.245,NLD,62540.0,54.16246
226,226,New Zealand,2024,5213944,47072.425,52983.046,NZL,,96.60444999999996
227,227,New Zealand,2023,5172836,47423.081,52856.074,NZL,48220.0,97.5857899999999
228,228,Nicaragua,2024,6916140,2877.647,8949.812,NIC,,0.0
229,229,Nicaragua,2023,6823613,2672.628,8492.336,NIC,2350.0,0.0
230,230,Niger,2024,27032412,877.073,6542.585,NER,,0.0
231,231,Niger,2023,26159867,1637.468,6366.706,NER,620.0,0.0
232,232,Nigeria,2024,232679478,877.073,6542.585,NGA,,44.99741999999999
233,233,Nigeria,2023,227882945,1637.468,6366.706,NGA,1880.0,43.101369999999996
234,234,North Macedonia,2024,1823009,8658.893,26911.822,MKD,,3.5988899999999995
235,235,North Macedonia,2023,1831802,8063.108,25718.08,MKD,7900.0,3.7880799999999977
236,236,Norway,2024,5576660,90433.666,103446.04,NOR,,386.25650999999993
237,237,Norway,2023,5519167,87702.851,100153.712,NOR,102910.0,375.53496000000007
238,238,Oman,2024,5281538,20631.44,41651.669,OMN,,1.0974499999999998
239,239,Oman,2023,5049269,21062.91,41558.705,OMN,20470.0,1.18675
240,240,Pakistan,2024,251269164,1587.604,6715.296,PAK,,106.93116999999998
241,241,Pakistan,2023,247504495,1458.013,6530.888,PAK,1460.0,102.00014999999996
242,242,Panama,2024,4515577,19369.476,41292.258,PAN,,2.82152
243,243,Panama,2023,4458759,18725.739,39846.203,PAN,17870.0,3.1333699999999998
244,244,Papua New Guinea,2024,10576502,2543.653,3542.298,PNG,,0.0
245,245,Papua New Guinea,2023,10389635,2518.04,3375.533,PNG,2820.0,0.0
246,246,Paraguay,2024,6929153,5869.329,16642.23,PRY,,0.0
247,247,Paraguay,2023,6844146,5685.818,15869.085,PRY,6220.0,0.0
